brand,category,condition,original_price,resale_price
ARKET,Women's Tops,Like New,7900,5150
Arrow,Women's Tops,Good,1300,500
Abu Jani Sandeep Khosla,Women's Sets,Good,79100,33100
Nike,Men's Outerwear,New with tags,8400,7500
Ralph Lauren,Women's Bottoms,Fair,6500,1500
Global Desi,Men's Tops,Fair,7700,2000
Tribe Amrapali,Women's Tops,Like New,6200,3850
Mango,Men's Bottoms,New with tags,3200,2150
Charles & Keith,Men's Formal,Like New,5400,3450
FabIndia,Women's Bottoms,Like New,6600,4250
Calvin Klein,Women's Dresses,Like New,8400,5600
Monte Carlo,Women's Bottoms,Like New,4100,2500
Reebok,Women's Traditional,New with tags,6500,5850
Marks & Spencer,Men's Tops,Like New,7400,3950
Clarks,Men's Bottoms,Good,9800,3800
Jaypore,Women's Bottoms,Well Loved,4700,450
ARKET,Women's Bottoms,Like New,13800,8350
Local Brand,Jewelry,Good,1750,750
ARKET,Men's Tops,Good,8500,3050
Forever 21,Women's Bottoms,New with tags,3100,2750
Lacoste,Women's Dresses,Like New,10300,6850
Uniqlo,Women's Bottoms,Fair,4100,1100
Sabyasachi,Women's Sets,Good,62300,29000
Puma,Women's Bottoms,Like New,4500,2700
Payal Singhal,Accessories,Good,8800,3650
Calvin Klein,Women's Bottoms,Fair,7900,1750
Uniqlo,Men's Bottoms,Like New,5000,3100
Biba,Women's Tops,Like New,3000,1700
Hidesign,Women's Tops,Good,4900,1550
Under Armour,Women's Tops,Like New,6000,3150
Max,Women's Sets,Like New,1400,800
Forever 21,Women's Outerwear,Like New,3500,2400
Acne Studios,Women's Tops,Fair,42400,8200
Park Avenue,Women's Traditional,Good,2500,1200
ASOS,Men's Outerwear,Fair,1100,350
Manish Malhotra,Accessories,Well Loved,133400,13150
Marks & Spencer,Men's Formal,Well Loved,2600,300
W,Women's Outerwear,Good,4600,2450
Baggit,Women's Bottoms,Like New,5800,3650
Reebok,Women's Tops,Good,4300,1700
Van Heusen,Women's Tops,Like New,4100,2350
& Other Stories,Bags,Good,9600,3500
Thrift,Women's Sets,Like New,550,350
Aldo,Women's Traditional,Good,4100,1900
Anamika Khanna,Women's Tops,Good,26500,9650
Chemistry,Women's Bottoms,Well Loved,4000,600
Tommy Hilfiger,Women's Traditional,Good,5700,3150
Louis Philippe,Women's Tops,Fair,3400,950
Nanushka,Women's Bottoms,Fair,24600,5050
Levi's,Men's Bottoms,Like New,6600,3700
Anita Dongre,Women's Tops,Good,16900,6300
Aldo,Women's Bottoms,Good,6400,2400
Ralph Lauren,Women's Dresses,Fair,13700,2750
Puma,Women's Traditional,Well Loved,6800,750
Clarks,Men's Tops,Like New,8300,5600
Ralph Lauren,Bags,Like New,7400,4950
H&M,Women's Tops,Fair,1800,550
Clarks,Women's Bottoms,Fair,4400,1300
Hidesign,Women's Bottoms,Well Loved,9600,1600
Hidesign,Women's Tops,Like New,9300,6600
Nike,Women's Outerwear,Good,7400,3700
Abu Jani Sandeep Khosla,Women's Tops,Well Loved,42500,6350
COS,Women's Sets,Like New,12700,9100
ARKET,Women's Traditional,Good,8300,3550
Park Avenue,Men's Tops,Well Loved,4700,500
Under Armour,Men's Tops,Good,2700,1150
H&M,Women's Outerwear,Good,2700,1250
Tribe Amrapali,Men's Tops,Well Loved,6100,700
Sabyasachi,Women's Outerwear,Like New,166800,117000
ASOS,Women's Traditional,Like New,2700,2150
Calvin Klein,Men's Tops,Like New,10500,5500
